Component 00000000037555,00011-37555,00006-00010-63125,578140679-037555,1343111266-037555,2108081853-0037555,98250326-037555,568364685-00037555,789506856-037555,263446952-0000037555
Component 00000000072858,00003-00002-00006-72858,00003-00003-00003-63248,174073789-072858,1024733180-072858,1875392571-0072858,1702606783-072858,1744277122-00072858,203535264-072858,93519976-0000072858
Component 00000000113181,00001-00005-00003-113181,00006-00001-80380,684690285-113181,1602957455-113181,373740978-0113181,123491443-113181,1974606534-00113181,1811841505-113181,165460037-0000113181
Component 00000000106808,00003-00002-106808,00004-00004-00004-25484,2064744120-106808,1927444811-106808,1790145502-0106808,774436751-106808,1460933296-00106808,1916828229-106808,1229088125-0000106808
Component 00000000040274,00004-00003-40274,00003-00012-64830,1368832700-040274,965281709-040274,561730718-0040274,50220636-040274,2067975591-00040274,1325737955-040274,522925263-0000040274
Component 00000000096837,00002-00006-96837,00003-00010-116945,1579038193-096837,1799748887-096837,2020459581-0096837,1546088617-096837,442535147-00096837,1435733270-096837,2085026574-0000096837
Component 00000000027406,00001-00001-00002-27406,00002-00002-00007-26007,1335643161-027406,419971497-027406,1651783480-0027406,2022724044-027406,158631423-00027406,333076229-027406,762288043-0000027406
Component 00000000030276,00001-00001-00012-30276,00004-00005-00005-106384,131613568-030276,1850495673-030276,1421894131-0030276,819275251-030276,814799314-00030276,1033576022-030276,1180362969-0000030276
Component 00000000079836,00001-00001-00003-79836,00004-00006-00009-11514,1933569203-079836,890048873-079836,1994012190-0079836,714957079-079836,1637591435-00079836,1236717244-079836,1564273579-0000079836
Component 00000000063005,00005-00007-63005,00004-00008-34419,2110883809-063005,998015564-063005,2032630966-0063005,750123278-063005,2019497209-00063005,232815577-063005,1658240051-0000063005
Component 00000000085534,00004-00001-00007-85534,00004-00001-00005-47559,2053932947-085534,1377356620-085534,700780293-0085534,378493969-085534,1613891957-00085534,1790523956-085534,1028004388-0000085534
Component 00000000049771,00001-00001-00007-49771,00008-34510,875069439-049771,1997729575-049771,972906064-0049771,1636994860-049771,318661474-00049771,1075664792-049771,647395188-0000049771
Component 00000000072777,00002-00005-00003-72777,00001-00006-00006-60976,798445984-072777,1320010194-072777,1841574404-0072777,324506405-072777,2011652649-00072777,63724300-072777,1798297511-0000072777
Component 00000000108108,00003-108108,00001-00002-00003-61896,1843131512-108108,1257163090-108108,671194668-0108108,1340950456-108108,2123308919-00108108,1633934667-108108,1490427854-0000108108
Component 00000000009541,00001-00012-9541,00004-00004-00008-19989,1958635393-009541,1912768113-009541,1866900833-0009541,1881555960-009541,2110892360-00009541,1904489600-009541,187526034-0000009541
Component 00000000093642,00002-00003-00003-93642,00005-00011-27480,561371227-093642,717637069-093642,873902911-0093642,1697813623-093642,916484413-00093642,1619680702-093642,405801124-0000093642
Component 00000000091114,00004-00002-00010-91114,00002-00002-00008-80257,1602696247-091114,1158574439-091114,714452631-0091114,1537625029-091114,1610750422-00091114,1759685933-091114,750647611-0000091114
Component 00000000074015,00004-00006-74015,00001-00003-95670,1557596660-074015,931722668-074015,305848676-0074015,1267479106-074015,101881772-00074015,1580416102-074015,574045374-0000074015
Component 00000000098247,00002-00002-00006-98247,00003-00004-00009-34563,687638857-098247,2143720901-098247,1452319298-0098247,440657640-098247,1750182008-00098247,1860100265-098247,1005734485-0000098247
Component 00000000047935,00006-00004-47935,00004-00007-106659,1626752575-047935,1923057514-047935,71878806-0047935,2038898411-047935,557373716-00047935,817004118-047935,1994695064-0000047935
Component 00000000005179,00004-00006-00005-5179,00001-00002-00003-21401,958798050-005179,329719947-005179,1848125491-0005179,1587022936-005179,437446157-00005179,827820164-005179,1140894254-0000005179
Component 00000000082483,00003-00002-00011-82483,00001-00004-00008-85691,2143873476-082483,1985129969-082483,1826386462-0082483,1961006151-082483,607240039-00082483,966636081-082483,1657499516-0000082483
Component 00000000015880,00004-00007-15880,00002-00005-00001-73932,319152701-015880,750407237-015880,1181661773-0015880,1907644874-015880,1898855841-00015880,1692017606-015880,1900086925-0000015880
Component 00000000055687,00002-00002-00008-55687,00004-00003-76664,503288532-055687,2002145233-055687,1353518287-0055687,1257136356-055687,205303792-00055687,1581449829-055687,1064821089-0000055687
Component 00000000006521,00001-00004-00008-6521,00005-00012-58980,1600877925-006521,36188135-006521,618981992-0006521,875350755-006521,108865117-00006521,1657695650-006521,2038709923-0000006521
Component 00000000075512,00002-00003-00008-75512,00002-00002-00001-14002,374852822-075512,1731665880-075512,940995291-0075512,1755776725-075512,1414162376-00075512,1077370196-075512,510938062-0000075512
Component 00000000043816,00001-00003-00006-43816,00002-00001-00002-114857,511257906-043816,621130351-043816,731002796-0043816,471362371-043816,2069483793-00043816,1490167972-043816,244862037-0000043816
Component 00000000066142,00002-00006-00011-66142,00001-00003-00008-122286,336231575-066142,664042215-066142,991852855-0066142,1202662086-066142,1711092533-00066142,1038756766-066142,1483728406-0000066142
Component 00000000084965,00006-00010-84965,00004-00003-00004-31594,1326408194-084965,1975524200-084965,477156559-0084965,596279780-084965,1645667044-00084965,271721777-084965,793407724-0000084965
Component 00000000091751,00001-00002-00010-91751,00004-00003-00009-98094,1791272056-091751,1825199562-091751,1859127068-0091751,1289272450-091751,1119634920-00091751,1272308697-091751,1252247901-0000091751
Component 00000000045400,00005-00004-45400,00004-00002-00011-35709,290220468-045400,31921091-045400,1921105361-0045400,1721344389-045400,865357627-00045400,776752254-045400,638768278-0000045400
Component 00000000001676,00001-00003-00012-1676,00003-00002-00001-46853,1089791728-001676,1036859216-001676,983926704-0001676,670048543-001676,934711103-00001676,696514799-001676,2074770286-0000001676
Component 00000000020334,00004-00006-00002-20334,00004-00001-00007-75069,872008406-020334,1113864797-020334,1355721188-0020334,790883311-020334,1729085003-00020334,1743696939-020334,740640485-0000020334
Component 00000000107168,00003-00005-00009-107168,00001-00005-00005-35586,285193254-107168,1257475618-107168,82274335-0107168,196247674-107168,1777286795-00107168,1857590139-107168,28228799-0000107168
Component 00000000064704,00004-00003-00003-64704,00002-00004-00007-82037,2049695255-064704,1702320257-064704,1354945259-0064704,234393381-064704,1971268371-00064704,408080880-064704,1327604009-0000064704
Component 00000000114393,00003-00006-00006-114393,00001-00005-00001-114336,284430183-114393,320009716-114393,355589249-0114393,936295710-114393,758398045-00114393,1992247767-114393,1114806929-0000114393
Component 00000000030776,00001-00004-00005-30776,00003-00004-00003-120383,625083082-030776,11464507-030776,1545329579-0030776,2003095076-030776,776220657-00030776,1236162540-030776,594704371-0000030776
Component 00000000036028,00003-00006-00005-36028,00002-00001-00012-20357,1571840869-036028,1964247067-036028,209169618-0036028,1276188649-036028,1461641306-00036028,1079985550-036028,1072157282-0000036028
Component 00000000024548,00003-00006-00004-24548,00002-00004-00005-69542,338230319-024548,2115971694-024548,1746229422-0024548,1733082950-024548,1434310663-00024548,1917954086-024548,1782574233-0000024548
Component 00000000015177,00002-00001-00006-15177,00003-00003-00004-54253,438972445-015177,1518423040-015177,450389988-0015177,178976951-015177,1224174917-00015177,712993477-015177,911171563-0000015177
Component 00000000057922,00002-00004-00007-57922,00001-00008-15660,1132740934-057922,43033250-057922,1100809213-0057922,1969009435-057922,975096914-00057922,366379630-057922,1388622280-0000057922
Component 00000000013501,00001-00005-00007-13501,00004-00001-00003-7309,1308640577-013501,425121578-013501,1689086226-0013501,333900242-013501,456527943-00013501,1849401565-013501,1106524368-0000013501
Component 00000000078289,00004-00001-00003-78289,00002-00007-91800,719041001-078289,1281137435-078289,1843233869-0078289,63430639-078289,1547915763-00078289,1929866069-078289,1609199068-0000078289
Component 00000000071523,00003-00004-00010-71523,00003-00002-00009-25853,2010932577-071523,985463107-071523,2107477284-0071523,1667787163-071523,352683572-00071523,33038251-071523,1816264053-0000071523
Component 00000000010252,00002-00004-00008-10252,00004-00005-39884,2045782221-010252,268836254-010252,639373934-0010252,689506878-010252,984302125-00010252,504238038-010252,2113801536-0000010252
Component 00000000019404,00004-00008-19404,00004-00007-49095,608176986-019404,313089626-019404,18002266-0019404,1328825555-019404,656778708-00019404,1476369235-019404,1135823375-0000019404
Component 00000000050611,00001-00001-00002-50611,00004-00006-00010-58029,364335792-050611,575860866-050611,787385940-0050611,2033367293-050611,975741923-00050611,1927604756-050611,2099189279-0000050611
Component 00000000049279,00004-00006-00009-49279,00002-00002-00009-20757,2037503338-049279,965983786-049279,2041947881-0049279,1608412594-049279,523559413-00049279,2144172370-049279,1849102287-0000049279
Component 00000000052313,00003-00002-00001-52313,00004-00002-00006-105709,190847705-052313,1789150987-052313,1239970622-0052313,399145590-052313,997563768-00052313,1747477596-052313,1398544033-0000052313
Component 00000000027599,00004-00005-27599,00001-00006-00011-31471,1764491071-027599,381064282-027599,1145121140-0027599,166543038-027599,641226042-00027599,1931998256-027599,1242228041-0000027599
Component 00000000016420,00005-00001-16420,00003-00005-89068,144184600-016420,1784602274-016420,1277536301-0016420,247546850-016420,635393068-00016420,1574821660-016420,1857430337-0000016420
Component 00000000100807,00002-00005-100807,00003-00001-104573,1053463503-100807,257141248-100807,1608302640-0100807,12797958-100807,1846925586-00100807,1484700909-100807,2050352786-0000100807
Component 00000000009362,00002-00003-00002-9362,00003-00003-00007-14983,1696838318-009362,1378737916-009362,1060637514-0009362,1301354350-009362,744372713-00009362,1460404551-009362,2094000849-0000009362
Component 00000000120776,00001-00005-00006-120776,00004-00004-45994,962419050-120776,938688699-120776,914958348-0120776,885238850-120776,1003890605-00120776,1970845849-120776,1366319130-0000120776
Component 00000000087135,00006-00009-87135,00003-00002-00001-92353,1312994360-087135,1383337139-087135,1453679918-0087135,1503393671-087135,1151679776-00087135,394480458-087135,87346353-0000087135
Component 00000000121837,00002-00002-00001-121837,00001-00002-00004-75651,2020642637-121837,171199620-121837,469240250-0121837,1443227663-121837,2100508160-00121837,1294207348-121837,1995718002-0000121837
Component 00000000096128,00003-00004-00006-96128,00002-00001-00002-97112,1898516705-096128,1984294198-096128,2070071691-0096128,690015998-096128,261128533-00096128,1720869075-096128,641323711-0000096128
Component 00000000009352,00002-00005-9352,00003-00001-00005-14708,780380338-009352,1136964272-009352,1493548206-0009352,894831961-009352,1259395938-00009352,716539994-009352,1444846075-0000009352
Component 00000000042241,00001-00003-00004-42241,00002-00002-70800,789322086-042241,310404011-042241,1978969583-0042241,110373742-042241,357480470-00042241,1423574603-042241,119298717-0000042241
Component 00000000045968,00003-00006-45968,00002-00006-00011-51582,1911897869-045968,17405556-045968,270396890-0045968,1297075686-045968,32119016-00045968,1170580019-045968,436866580-0000045968
Component 00000000123453,00003-00001-00005-123453,00002-00005-00011-120937,366767087-123453,131448729-123453,2043614018-0123453,1838728606-123453,867836749-00123453,1956387785-123453,840606492-0000123453
Component 00000000072665,00005-00008-72665,00004-00005-00011-57874,1788047690-072665,1178852023-072665,569656356-0072665,1233087075-072665,2131581763-00072665,463943085-072665,1853288475-0000072665
Component 00000000018457,00002-00005-00010-18457,00002-00004-00008-22537,617841418-018457,215667765-018457,1960977759-0018457,1513513894-018457,1376898512-00018457,640858897-018457,392659373-0000018457
Component 00000000051603,00003-00006-00006-51603,00004-00003-00005-85844,929823369-051603,22443532-051603,1262547342-0051603,945316038-051603,1187247929-00051603,325264133-051603,733837169-0000051603
Component 00000000026718,00003-00006-00003-26718,00002-00004-00001-6787,1589947336-026718,1045068796-026718,500190256-0026718,933141910-026718,1510050963-00026718,1205581180-026718,911033163-0000026718
Component 00000000047589,00004-00003-00009-47589,00004-00004-00009-96989,1727512107-047589,1591083110-047589,1454654113-0047589,479414870-047589,1161559855-00047589,1621371192-047589,1926083886-0000047589
Component 00000000029599,00004-00003-00011-29599,00004-00004-40824,401936649-029599,1600818151-029599,652216006-0029599,565631027-029599,1013674458-00029599,2113673923-029599,1132006243-0000029599
Component 00000000122803,00003-00002-00005-122803,00001-00001-00009-102761,1946323781-122803,1815928762-122803,1685533743-0122803,990874477-122803,1642849572-00122803,2129813810-122803,2075566131-0000122803
Component 00000000066975,00006-00012-66975,1436259974,1559293475-066975,1686608900-066975,1813924325-0066975,217898823-066975,1728805345-00066975,1227982934-066975,735641110-0000066975
Component 00000000081056,00001-00003-00001-81056,00004-00002-00012-111799,493311974-081056,383617453-081056,273922932-0081056,541836823-081056,1090309428-00081056,1670425907-081056,977064266-0000081056
