Component 00000000046420,00003-00010-46420,00001-64260,1848325235-046420,1852590989-046420,1856856743-0046420,2055214304-046420,2033885534-00046420,2053081427-046420,1844294423-0000046420
Component 00000000042363,00003-00006-00009-42363,00004-00002-00005-74209,591666984-042363,619987024-042363,648307064-0042363,1965188924-042363,1823588724-00042363,1951028904-042363,935433941-0000042363
Component 00000000090491,00001-00002-00011-90491,00003-00005-00011-62788,1834794264-090491,75952091-090491,464593565-0090491,1356552930-090491,1560829207-00090491,1162232193-090491,1481002175-0000090491
Component 00000000116068,00003-00001-00004-116068,00004-00002-00004-37704,1904578268-116068,669257243-116068,1581419865-0116068,1047308848-116068,781463032-00116068,591227537-116068,1312198573-0000116068
Component 00000000052843,00003-00011-52843,00003-00005-00002-120538,901026074-052843,974390032-052843,1047753990-0052843,164210743-052843,1944874600-00052843,127528764-052843,1468158747-0000052843
Component 00000000104114,00004-00003-00010-104114,00004-00003-00001-73594,713823285-104114,1019784035-104114,1325744785-0104114,520534131-104114,1138214028-00104114,367553756-104114,2051742367-0000104114
Component 00000000106523,00003-00004-00001-106523,00003-00005-00009-17533,89107327-106523,421655862-106523,754204397-0106523,111583922-106523,596324894-00106523,1019051478-106523,748030504-0000106523
Component 00000000095166,00001-00001-00006-95166,00006-00003-70125,2108796224-095166,1069828148-095166,30860072-0095166,1110968419-095166,2010841505-00095166,1630452457-095166,804245957-0000095166
Component 00000000007921,00001-00004-00004-7921,00004-00002-00009-12749,1178804872-007921,2072703698-007921,819118877-0007921,1583224993-007921,1408698157-00007921,1136275580-007921,649471512-0000007921
Component 00000000013940,00003-00004-13940,00006-00003-19620,547235247-013940,1842316488-013940,989914082-0013940,7907849-013940,2122436232-00013940,434109052-013940,888163878-0000013940
Component 00000000067229,00004-00001-00006-67229,00003-00006-00009-29168,1012502900-067229,1723654276-067229,287322005-0067229,1143606284-067229,1882816698-00067229,788030596-067229,1381290184-0000067229
Component 00000000046851,00001-00012-46851,00001-00005-00003-76326,1430425842-046851,1072845533-046851,715265224-0046851,193908208-046851,1981809753-00046851,1446440186-046851,538753799-0000046851
Component 00000000072389,00004-00002-00005-72389,00002-00003-00009-50137,1086534929-072389,1919912882-072389,605807188-0072389,1776918180-072389,1904995709-00072389,286487380-072389,2137517111-0000072389
Component 00000000050001,00001-00003-50001,00004-00004-40989,838803218-050001,1188335997-050001,1537868776-0050001,1685015647-050001,2084835399-00050001,436507434-050001,1055871353-0000050001
Component 00000000061145,00006-61145,00004-00002-00004-105954,1383104060-061145,1742860132-061145,2102616204-0061145,1651404376-061145,2000107663-00061145,1471526340-061145,1413625828-0000061145
Component 00000000071498,00003-00011-71498,00003-00001-00001-25208,447687906-071498,1360875690-071498,126579827-0071498,1787622490-071498,1516650864-00071498,1331028598-071498,1503436255-0000071498
Component 00000000048754,00004-00006-00004-48754,00002-00005-6050,1938951426-048754,1793079433-048754,1647207440-0048754,232868883-048754,962228848-00048754,1379546703-048754,145981455-0000048754
Component 00000000019903,00003-00002-19903,00004-00001-00001-63064,566917949-019903,1760106993-019903,805812390-0019903,454528114-019903,931033835-00019903,2005417239-019903,1106707659-0000019903
Component 00000000105773,00003-00003-00005-105773,00002-00006-00009-120077,1527185762-105773,1262764980-105773,998344198-0105773,1587679717-105773,762299980-00105773,1719890108-105773,1353964547-0000105773
Component 00000000002169,00004-00006-00011-2169,00003-00004-00006-60638,560565342-002169,1040803749-002169,1521042156-0002169,1303549788-002169,1049841400-00002169,2137172408-002169,985438131-0000002169
Component 00000000054362,00002-00009-54362,00001-00001-00009-39516,492324023-054362,1646936226-054362,654064782-0054362,1730182870-054362,252089149-00054362,79134945-054362,815275083-0000054362
Component 00000000051276,00001-00001-00004-51276,00004-00003-76664,60475037-051276,1389031060-051276,570103436-0051276,1144674566-051276,944345392-00051276,1554138378-051276,1655808851-0000051276
Component 00000000024457,00002-00006-00004-24457,00004-00006-00009-67024,1620175904-024457,2114678428-024457,461697305-0024457,1981228201-024457,1656199228-00024457,1733976939-024457,776213569-0000024457
Component 00000000093195,00004-00011-93195,00004-00002-00004-14954,680636145-093195,1529330910-093195,230542028-0093195,2113884778-093195,17894600-00093195,615795572-093195,288508882-0000093195
Component 00000000004924,00004-00003-00010-4924,00003-00003-14248,2050367-004924,1441577236-004924,733620458-0004924,25884986-004924,1418185229-00004924,379863375-004924,943227011-0000004924
Component 00000000087601,00001-00003-00007-87601,00001-00002-00010-105401,1507713630-087601,604056636-087601,1847883289-0087601,630022361-087601,853340037-00087601,1081850858-087601,1649661095-0000087601
Component 00000000031543,00003-00001-00005-31543,00004-18330,1194753722-031543,798681705-031543,402609688-0031543,238871897-031543,71748335-00031543,1510649729-031543,439977143-0000031543
Component 00000000005971,00001-00004-5971,00003-00005-43568,296687550-005971,1633740272-005971,823309347-0005971,719235157-005971,476422488-00005971,50708796-005971,1684108067-0000005971
Component 00000000109818,00003-00002-00007-109818,00002-00004-00007-109792,1635961765-109818,1417797851-109818,1199633937-0109818,1792430171-109818,735766094-00109818,1901512128-109818,1752611267-0000109818
Component 00000000008247,00002-00001-00005-8247,00001-00005-00008-107336,1605540182-008247,2117760361-008247,482496893-0008247,1752156923-008247,1338539675-00008247,422305010-008247,1146263424-0000008247
Component 00000000043688,00003-00001-00008-43688,,424301608-043688,1674322863-043688,776860471-0043688,1994532183-043688,39393202-00043688,295779732-043688,1779412092-0000043688
Component 00000000094759,00004-00002-94759,00004-00004-58734,1808801271-094759,1059660740-094759,310520209-0094759,908965693-094759,359701054-00094759,209794135-094759,635048504-0000094759
Component 00000000091561,00001-00001-00002-91561,00003-00003-00011-92753,142212583-091561,881227146-091561,1620241709-0091561,550938713-091561,1150833192-00091561,1255173255-091561,745619184-0000091561
Component 00000000031476,00001-00004-00003-31476,00003-00001-16458,303471127-031476,314091864-031476,324712601-0031476,1892318695-031476,1839215010-00031476,813266503-031476,13983580-0000031476
Component 00000000022637,00002-00006-00004-22637,00004-00006-16029,1841967429-022637,245382910-022637,796282038-0022637,643287726-022637,36275733-00022637,367838162-022637,1693272108-0000022637
Component 00000000110966,00001-00002-00011-110966,00002-00003-00010-18392,2129190755-110966,1988401904-110966,1847613053-0110966,669640599-110966,1373584854-00110966,1813776848-110966,1211241948-0000110966
Component 00000000027204,00004-00002-00008-27204,00002-00001-00012-20357,1365223967-027204,1473927216-027204,1582630465-0027204,1268622426-027204,725106181-00027204,140528978-027204,1075563142-0000027204
Component 00000000095476,00001-00003-00004-95476,00004-00003-00012-78844,2047862834-095476,2032368020-095476,2016873206-0095476,1296364355-095476,1373838425-00095476,1304111762-095476,975769553-0000095476
Component 00000000097202,00002-00001-97202,00006-00011-3625,375192905-097202,47900089-097202,1868090920-0097202,1681360505-097202,1170340938-00097202,1845006913-097202,687875876-0000097202
Component 00000000121012,00002-00003-00008-121012,00004-00001-00005-52564,1001375490-121012,1015051081-121012,1028726672-0121012,590899830-121012,522521875-00121012,1657803858-121012,1179242804-0000121012
Component 00000000038975,00006-00001-38975,00004-00005-00002-102884,483294096-038975,1631703094-038975,632628445-0038975,346555677-038975,1046961628-00038975,1919834825-038975,243785130-0000038975
Component 00000000085935,00003-00005-85935,00001-00003-00010-58796,1628596838-085935,1253565013-085935,878533188-0085935,1693164325-085935,1420839803-00085935,806938414-085935,1633532484-0000085935
Component 00000000039450,00005-00008-39450,00004-00002-00002-116209,128383492-039450,1530184826-039450,784502513-0039450,1543755134-039450,977199405-00039450,842854467-039450,1039976198-0000039450
Component 00000000043632,00002-00001-00004-43632,00003-00006-109700,341168496-043632,1578269610-043632,667887077-0043632,211030409-043632,467975780-00043632,1739963499-043632,283593756-0000043632
Component 00000000007725,00004-00003-7725,00003-92690,484020578-007725,1268850521-007725,2053680464-0007725,967308991-007725,1338126570-00007725,1648635843-007725,1758977319-0000007725
Component 00000000012551,00001-00006-12551,00005-104265,536408961-012551,837087951-012551,1137766941-0012551,86954447-012551,731043144-00012551,2084098599-012551,535433128-0000012551
Component 00000000069961,00001-00003-00008-69961,00003-00006-00001-105678,480595410-069961,2064458318-069961,1500837579-0069961,2136018803-069961,659155204-00069961,1344087349-069961,281730904-0000069961
Component 00000000086513,00003-00011-86513,00003-74945,2091416065-086513,2046894351-086513,2002372637-0086513,2079596583-086513,154721506-00086513,2101857440-086513,538680219-0000086513
Component 00000000048625,00003-00005-48625,00004-00002-00002-2459,952563612-048625,598758069-048625,244952526-0048625,2046605776-048625,1668149844-00048625,1149766724-048625,1487658476-0000048625
Component 00000000109130,00008-109130,00002-00002-00004-52082,1597228901-109130,642087801-109130,1834430348-0109130,370042138-109130,850780344-00109130,847612688-109130,2134692222-0000109130
Component 00000000021667,00002-00002-00009-21667,00002-00012-112462,208300662-021667,982778212-021667,1757255762-0021667,1263239838-021667,1685819382-00021667,876001063-021667,531841797-0000021667
Component 00000000094011,00001-00001-00008-94011,00003-00003-6100,972891940-094011,1396731790-094011,1820571640-0094011,54288195-094011,82572592-00094011,1989851917-094011,1893379629-0000094011
Component 00000000043114,00004-00001-00006-43114,00003-00001-00009-95208,433885222-043114,1543474040-043114,505579211-0043114,561851720-043114,1456358571-00043114,7057311-043114,855069733-0000043114
Component 00000000088488,00003-00001-00010-88488,00001-00004-00001-6696,519155394-088488,1748644966-088488,830650891-0088488,19857520-088488,314860601-00088488,1552596381-088488,476303199-0000088488
Component 00000000050937,00002-00005-00003-50937,00001-00004-00004-70256,509431719-050937,1000856575-050937,1492281431-0050937,721217118-050937,411576485-00050937,475504690-050937,1527522988-0000050937
Component 00000000084076,00001-00006-00005-84076,00001-00004-00001-6696,450253719-084076,798121053-084076,1145988387-0084076,141950242-084076,550097219-00084076,2115500222-084076,1073657663-0000084076
Component 00000000047544,00004-00003-47544,00005-00011-95730,898394319-047544,2125563255-047544,1205248544-0047544,286545599-047544,593151860-00047544,1820444778-047544,1118492556-0000047544
Component 00000000115818,00003-00003-00001-115818,00003-00003-00001-30733,1130942778-115818,1940953473-115818,603480521-0115818,688014016-115818,932927835-00115818,1356750492-115818,1789338778-0000115818
Component 00000000001552,00002-00005-00005-1552,00004-00005-00003-43384,1348611656-001552,111174805-001552,1021221601-0001552,388724675-001552,133457989-00001552,2081184924-001552,369444827-0000001552
Component 00000000117607,00002-00009-117607,00002-00002-00004-80747,2057932294-117607,294829861-117607,679211075-0117607,1373068350-117607,1598645927-00117607,1180877743-117607,1947127181-0000117607
Component 00000000093709,00004-00005-93709,00004-00005-00004-29384,955529658-093709,465790899-093709,2123535787-0093709,1899261787-093709,52988288-00093709,1070389343-093709,357419600-0000093709
Component 00000000121866,00001-00003-00004-121866,00001-00001-00006-76511,1761886911-121866,549157184-121866,1483911104-0121866,2000295444-121866,1621493138-00121866,1532918484-121866,317102517-0000121866
Component 00000000113559,00004-00005-00004-113559,00001-00001-00001-91001,359283286-113559,702229162-113559,1045175038-0113559,1959772743-113559,245043363-00113559,1788299805-113559,1175937441-0000113559
Component 00000000107586,00001-00003-00011-107586,00003-00003-00011-47253,1895332661-107586,902512396-107586,2057175778-0107586,2061931866-107586,583582250-00107586,1484600175-107586,386169104-0000107586
Component 00000000007934,00004-00003-00004-7934,00004-00006-00010-98524,1637020657-007934,335208044-007934,1180879078-0007934,1849876513-007934,1916488637-00007934,1427040996-007934,1856024919-0000007934
Component 00000000090673,00003-00002-00011-90673,00003-00004-00010-67883,457846450-090673,1990484829-090673,1375639561-0090673,702622010-090673,1629364703-00090673,1010044644-090673,794360499-0000090673
Component 00000000050975,00001-00002-50975,00002-00002-00002-68252,76670594-050975,502208461-050975,927746328-0050975,314162497-050975,333956809-00050975,1175135387-050975,993572309-0000050975
Component 00000000107493,00003-00001-00009-107493,00003-00006-00005-44673,1576997032-107493,532963783-107493,1636414181-0107493,1407250160-107493,184965464-00107493,855524961-107493,447893759-0000107493
Component 00000000121584,00004-00001-00008-121584,00003-00009-68558,1055257039-121584,176303149-121584,1444832906-0121584,1375666314-121584,1475468470-00121584,1815143259-121584,85342116-0000121584
Component 00000000061326,00001-00006-00005-61326,00004-00004-00008-110989,418089965-061326,1677808673-061326,790043734-0061326,1384905187-061326,1528762588-00061326,755045833-061326,36587415-0000061326
