Component 00000000092151,00001-00003-00007-92151,00005-109270,515055907-092151,1245366982-092151,1975678057-0092151,501662869-092151,1145074788-00092151,1210249155-092151,1685218635-0000092151
Component 00000000055325,00004-00010-55325,00002-00004-00011-66532,201556063-055325,2078659171-055325,1808278632-0055325,1046743627-055325,251162675-00055325,108192073-055325,1992158497-0000055325
Component 00000000051549,00004-00001-00004-51549,00001-00005-00010-84341,774327837-051549,1741525333-051549,561239182-0051549,438766159-051549,2045229620-00051549,2102651058-051549,1380945382-0000051549
Component 00000000060385,00003-60385,00003-00006-00009-84678,1731871219-060385,240145232-060385,895902892-0060385,1323863024-060385,192558371-00060385,995984194-060385,1302977689-0000060385
Component 00000000049508,00003-00004-00004-49508,00002-00003-00011-27142,1299781623-049508,535737697-049508,1919177418-0049508,750873211-049508,276125547-00049508,1132895174-049508,926534480-0000049508
Component 00000000100564,00004-00002-00009-100564,00002-00002-00010-97757,1646814458-100564,1147903608-100564,648992758-0100564,1071958350-100564,1419028953-00100564,1321413775-100564,2037338820-0000100564
Component 00000000115040,00002-00003-115040,00001-00004-00005-8936,761157987-115040,361482198-115040,2109290056-0115040,1777976867-115040,1628872165-00115040,904072938-115040,2122123283-0000115040
Component 00000000004621,00001-00001-00006-4621,00004-00006-00002-5774,406313141-004621,1680109482-004621,806422176-0004621,982151740-004621,1055620976-00004621,1418995393-004621,1970334750-0000004621
Component 00000000002576,00001-00002-2576,00004-00005-72090,2095650416-002576,1000721749-002576,2053276729-0002576,1604959418-002576,637151812-00002576,1078681928-002576,1053607480-0000002576
Component 00000000052417,00002-00001-00001-52417,00001-00011-108626,773244858-052417,1710836654-052417,500944803-0052417,1149290377-052417,756298691-00052417,680494479-052417,611298672-0000052417
Component 00000000111623,00003-00001-00005-111623,00004-00001-00011-36814,528327719-111623,1201927197-111623,1875526675-0111623,985647697-111623,1912617601-00111623,648847958-111623,749894976-0000111623
Component 00000000078023,00003-00001-00010-78023,00003-00003-84308,1862338165-078023,553160885-078023,1391467252-0078023,644265848-078023,747701307-00078023,1298854488-078023,876694427-0000078023
Component 00000000079748,00003-00004-00006-79748,00004-00003-9090,1044504681-079748,1519504123-079748,1994503565-0079748,459657501-079748,232143938-00079748,222157780-079748,527580352-0000079748
Component 00000000098468,00003-00006-00006-98468,00004-00006-00011-39024,630305709-098468,2127464465-098468,1477139574-0098468,228061377-098468,1332202185-00098468,1626965646-098468,508265289-0000098468
Component 00000000001706,00001-00005-00003-1706,00002-00005-00011-47682,68687125-001706,777898850-001706,1487110575-0001706,1179459259-001706,1928367928-00001706,1898595220-001706,2017372839-0000001706
Component 00000000092252,00002-00006-00004-92252,00004-00003-00008-112094,715510943-092252,764380441-092252,813249939-0092252,938197949-092252,693850459-00092252,913763200-092252,50163561-0000092252
Component 00000000077869,00004-00001-00012-77869,00005-00004-79980,2063117281-077869,1244860132-077869,426602983-0077869,2106093024-077869,1902411475-00077869,1441479775-077869,502314605-0000077869
Component 00000000110745,00005-00011-110745,00001-00005-12160,198896037-110745,394407048-110745,589918059-0110745,17503659-110745,1187432251-00110745,993489977-110745,1279815773-0000110745
Component 00000000106945,00006-00007-106945,00002-00006-00007-29322,1579134848-106945,1792897142-106945,2006659436-0106945,1209187872-106945,140376402-00106945,1102306725-106945,776160038-0000106945
Component 00000000089218,00003-00003-00012-89218,00002-00005-00002-27172,954332611-089218,1663536278-089218,225256298-0089218,2064713932-089218,666179244-00089218,636370275-089218,1245447505-0000089218
Component 00000000044641,00001-00002-00012-44641,00003-00001-00007-14463,817217286-044641,802747046-044641,788276806-0044641,115410646-044641,187761846-00044641,122645766-044641,920513149-0000044641
Component 00000000000079,00004-00002-00001-79,00001-00005-2150,246766393-000079,1262859972-000079,131469904-0000079,1208922917-000079,423422316-00000079,1774617951-000079,1328690046-0000000079
Component 00000000067404,00004-00001-00012-67404,00002-00001-34112,1860121511-067404,1454608769-067404,1049096027-0067404,1520106347-067404,1400186410-00067404,1722862718-067404,1509377146-0000067404
Component 00000000111381,00001-00004-00010-111381,00004-00004-00008-29999,1814631527-111381,2127727999-111381,293340824-0111381,1967424890-111381,401942530-00111381,1810876654-111381,109405043-0000111381
Component 00000000093310,00009-93310,00003-00006-00004-18178,474152974-093310,1322905426-093310,24174231-0093310,836457603-093310,887662637-00093310,412081377-093310,443581786-0000093310
Component 00000000072526,00001-00006-00012-72526,00003-00008-53945,1517160289-072526,1584890804-072526,1652621319-0072526,1580864796-072526,1242212221-00072526,473257715-072526,795940880-0000072526
Component 00000000067491,00001-00004-00008-67491,00002-00002-00003-36507,1148590360-067491,842934382-067491,537278404-0067491,1356660956-067491,737457199-00067491,1509488945-067491,348825642-0000067491
Component 00000000076640,00004-00005-76640,00004-00003-00003-45594,1025647581-076640,556467994-076640,87288407-0076640,819015905-076640,1017430193-00076640,2127347522-076640,303723660-0000076640
Component 00000000070763,00003-00004-70763,00003-00002-4578,37536422-070763,1590526217-070763,996032365-0070763,1269355658-070763,2094341271-00070763,1566602584-070763,1993725361-0000070763
Component 00000000076208,00003-00006-00002-76208,00002-00002-00009-33497,1347225475-076208,1423023760-076208,1498822045-0076208,1802216827-076208,1423225402-00076208,690575861-076208,451684802-0000076208
Component 00000000035164,00004-00003-00012-35164,00003-00001-00004-119708,1577644009-035164,533936124-035164,1637711886-0035164,1423677291-035164,199765775-00035164,871789410-035164,2027730638-0000035164
Component 00000000119863,00003-00002-00003-119863,00004-00005-00005-20389,1699042732-119863,1039686891-119863,380331050-0119863,858797325-119863,2008092883-00119863,114733422-119863,1916439595-0000119863
Component 00000000021173,00003-00005-00009-21173,00001-00011-98616,539081534-021173,158892361-021173,1926186835-0021173,353517643-021173,106979861-00021173,1617354053-021173,942047637-0000021173
Component 00000000076778,00003-00002-76778,00002-00010-49462,1493446575-076778,1636591629-076778,1779736683-0076778,1993530753-076778,1277805483-00076778,1921958226-076778,781010624-0000076778
Component 00000000090320,00006-00009-90320,00004-00006-00010-58029,1896720324-090320,1135497606-090320,374274888-0090320,1484640500-090320,995786796-00090320,1865251859-090320,1896076844-0000090320
Component 00000000109022,00002-00004-00004-109022,00002-00002-00012-87502,1548291923-109022,1487088404-109022,1425884885-0109022,1801146722-109022,2107164317-00109022,758006658-109022,663019815-0000109022
Component 00000000119333,00003-00004-00006-119333,00004-00003-00012-5589,1028939486-119333,196573470-119333,1511691101-0119333,1461377003-119333,1328239789-00119333,1877560011-119333,1351071182-0000119333
Component 00000000048892,00002-00004-00012-48892,00004-9919,271555395-048892,1053350629-048892,1835145863-0048892,1681402245-048892,2067393369-00048892,1290504628-048892,928117031-0000048892
Component 00000000031433,00003-00003-00012-31433,00005-00007-15230,2022575560-031433,45941241-031433,216790569-0031433,1718833380-031433,864586740-00031433,1633408716-031433,1798568414-0000031433
Component 00000000080674,00004-00006-00009-80674,00003-00001-00007-6273,725798263-080674,995841590-080674,1265884917-0080674,2011739564-080674,661522929-00080674,802976077-080674,1387381455-0000080674
Component 00000000105435,00001-00005-105435,00004-00012-110590,1607427031-105435,1621113433-105435,1634799835-0105435,123733881-105435,55301871-00105435,116890680-105435,104897560-0000105435
Component 00000000113068,00003-00004-00007-113068,00004-00004-00003-77249,536748499-113068,1505886334-113068,327540522-0113068,1369035086-113068,818313205-00113068,1958207992-113068,1109998082-0000113068
Component 00000000096255,00005-00003-96255,00003-00002-00010-28688,1514059377-096255,934125981-096255,354192585-0096255,1304577082-096255,2056760415-00096255,1594543780-096255,1350245650-0000096255
Component 00000000119410,00004-00005-119410,00003-00001-00012-7708,396663164-119410,879511875-119410,1362360586-0119410,1266247354-119410,999487446-00119410,2098564822-119410,1604622551-0000119410
Component 00000000117950,00001-117950,00003-00004-00012-90388,1930079332-117950,102328446-117950,422061207-0117950,1330990888-117950,1879810730-00117950,97382684-117950,1990590822-0000117950
Component 00000000061401,00001-00004-00002-61401,00002-00001-00007-113107,1054648383-061401,1930413441-061401,658694852-0061401,579580756-061401,495722760-00061401,141698227-061401,266496080-0000061401
Component 00000000093215,00003-00005-93215,00002-00002-00011-15507,1360730659-093215,197005824-093215,1180764636-0093215,1828392807-093215,1204566041-00093215,1336513401-093215,627914976-0000093215
Component 00000000122429,00004-00006-00008-122429,00005-00008-92230,740951600-122429,71798916-122429,1550129879-0122429,499301131-122429,1697580904-00122429,833877473-122429,1893901162-0000122429
Component 00000000109089,00004-00001-00006-109089,00004-00003-00008-89344,2008677392-109089,229222818-109089,597251891-0109089,1604476433-109089,1911814715-00109089,346720073-109089,925439462-0000109089
Component 00000000058224,00004-00005-00010-58224,00004-00005-00006-24134,1555676464-058224,1091131688-058224,626586912-0058224,500091298-058224,675331531-00058224,732363686-058224,1453541438-0000058224
Component 00000000028357,00002-00004-28357,00001-00004-00010-52686,946120746-028357,1861801623-028357,629998853-0028357,1333228517-028357,1049791426-00028357,1949129902-028357,117457036-0000028357
Component 00000000011156,00001-00005-00002-11156,00002-00004-65212,1115450506-011156,1578748317-011156,2042046128-0011156,1036816046-011156,867810638-00011156,1878908964-011156,114105207-0000011156
Component 00000000033101,00001-00005-00003-33101,00003-00001-61958,2059464419-033101,1295120706-033101,530776993-0033101,422274514-033101,2096509432-00033101,1878188194-033101,130487943-0000033101
Component 00000000076799,00004-00002-00008-76799,00002-00004-00010-50047,396680547-076799,1936408315-076799,1328652436-0076799,2059033297-076799,802845398-00076799,1289169413-076799,1650583076-0000076799
Component 00000000055187,00002-00006-00002-55187,00004-00005-62634,1467839958-055187,1960477373-055187,305631141-0055187,664692645-055187,348989217-00055187,1492115761-055187,587294190-0000055187
Component 00000000091756,00001-00002-91756,00003-00003-21570,76196551-091756,694499138-091756,1312801725-0091756,1072842786-091756,128813498-00091756,1837433316-091756,1964167209-0000091756
Component 00000000048277,00002-00005-00008-48277,00004-00004-00006-116239,416263548-048277,1971711159-048277,1379675123-0048277,1767286860-048277,432499746-00048277,2063304878-048277,1533496466-0000048277
Component 00000000079892,00002-00001-00007-79892,00002-00001-00008-13112,657761500-079892,596715510-079892,535669520-0079892,1991998279-079892,149744582-00079892,2022521274-079892,1751374433-0000079892
Component 00000000071031,00001-00002-00012-71031,00004-00003-00009-12099,1954232425-071031,2117403654-071031,133091236-0071031,204360620-071031,1535988122-00071031,1196516829-071031,197863406-0000071031
Component 00000000104564,00004-00005-00005-104564,00002-00009-86212,1714241310-104564,615592526-104564,1664427389-0104564,2116866461-104564,1167659440-00104564,518707206-104564,743642637-0000104564
Component 00000000010727,00002-00003-00002-10727,00003-00006-00008-53178,893341158-010727,383590665-010727,2021323819-0010727,866504188-010727,1267773006-00010727,47637611-010727,1700682573-0000010727
Component 00000000048202,00002-00011-48202,00001-00002-00011-114151,1194435819-048202,1861354009-048202,380788552-0048202,1327713329-048202,140606026-00048202,994254234-048202,841208835-0000048202
Component 00000000074696,00001-00006-00011-74696,00005-00010-114735,1115108871-074696,1906113536-074696,549634554-0074696,1897871301-074696,90331623-00074696,428627145-074696,1016359048-0000074696
Component 00000000027636,00001-00011-27636,00004-00002-00006-32454,1663708128-027636,1272744879-027636,881781630-0027636,955601551-027636,762934149-00027636,77341352-027636,1130980308-0000027636
Component 00000000122897,00002-00005-00008-122897,00001-00006-105371,1175467923-122897,1639771246-122897,2104074569-0122897,1145600795-122897,971567827-00122897,1987190957-122897,1275604962-0000122897
Component 00000000090297,00002-00004-00012-90297,,1798508965-090297,613736654-090297,1576447990-0090297,1245368527-090297,726779141-00090297,764012859-090297,1461998837-0000090297
Component 00000000009548,00003-00006-9548,00003-00006-00010-20173,1464329499-009548,1828155782-009548,44498418-0009548,856293225-009548,1184645457-00009548,1748121907-009548,1833782715-0000009548
Component 00000000031734,00004-00003-00001-31734,00003-00006-23673,1469485833-031734,1269788270-031734,1070090707-0031734,1447830439-031734,298834607-00031734,473937397-031734,711168422-0000031734
Component 00000000076961,00001-00003-00001-76961,00001-00008-54621,878271713-076961,60075876-076961,1389363686-0076961,924221088-076961,720232979-00076961,259577183-076961,2096747453-0000076961
Component 00000000022519,00004-00003-22519,00003-00003-00003-12743,1955005897-022519,723449469-022519,1639376688-0022519,206577608-022519,2069392454-00022519,822355822-022519,1742805022-0000022519
