Component 00000000011892,00002-00006-00010-11892,00003-85813,765188718-011892,1019854467-011892,1274520216-0011892,1305317486-011892,31988741-00011892,104242788-011892,1143141531-0000011892
Component 00000000091431,00001-00004-00002-91431,00004-00005-00001-89129,663580578-091431,228642187-091431,1941187443-0091431,2117646908-091431,2144855216-00091431,1261374280-091431,1384037124-0000091431
Component 00000000035748,00003-00006-00011-35748,00003-00003-00005-12498,520673875-035748,795868232-035748,1071062589-0035748,2056440131-035748,680468346-00035748,845101129-035748,1489753356-0000035748
Component 00000000036284,00004-00003-00001-36284,00002-00004-00008-27542,1977098357-036284,1021810285-036284,66522213-0036284,742783452-036284,1224256518-00036284,1220427488-036284,2054904135-0000036284
Component 00000000101512,00002-00005-00008-101512,00003-00001-00006-708,865110233-101512,296899396-101512,1876172206-0101512,150430226-101512,844000764-00101512,1508277468-101512,1883322772-0000101512
Component 00000000097874,00004-00010-97874,00003-00007-22445,743262363-097874,2686305-097874,1409593894-0097874,1332545549-097874,740458545-00097874,1702833578-097874,61030067-0000097874
Component 00000000057571,00001-00003-00007-57571,00004-00011-5835,1822453690-057571,857831662-057571,2040693281-0057571,135441919-057571,663584765-00057571,617752933-057571,1251449309-0000057571
Component 00000000064568,00003-00010-64568,00003-00004-00008-89058,539536860-064568,1215250613-064568,1890964366-0064568,25657352-064568,942055881-00064568,761542299-064568,470662365-0000064568
Component 00000000043054,00004-00004-00011-43054,00011-93520,1946159728-043054,1904906391-043054,1863653054-0043054,1019114707-043054,1225381392-00043054,2113483199-043054,2029999097-0000043054
Component 00000000117622,00002-00001-00011-117622,00002-00005-00005-81177,1778045191-117622,2085266869-117622,245004900-0117622,1645911045-117622,109802655-00117622,1492300206-117622,135434075-0000117622
Component 00000000008278,00003-00004-00010-8278,00004-00004-108164,1674480949-008278,1368369037-008278,1062257125-0008278,1860438746-008278,1243514659-00008278,2013494702-008278,1270684400-0000008278
Component 00000000050663,00003-00004-00002-50663,00002-00002-00001-59502,814672121-050663,1744707551-050663,527259334-0050663,824233889-050663,469024033-00050663,359216174-050663,1639788310-0000050663
Component 00000000069921,00001-00005-00007-69921,00002-00004-00009-104542,1636834451-069921,913874937-069921,190915423-0069921,933036374-069921,252866650-00069921,1294516131-069921,1901023410-0000069921
Component 00000000096672,00002-00002-00004-96672,00002-00003-112310,1205044387-096672,203917535-096672,1350274330-0096672,2042515946-096672,605699265-00096672,395595725-096672,599659812-0000096672
Component 00000000066098,00003-00004-00006-66098,00004-00008-121090,1767444585-066098,1302182666-066098,836920747-0066098,1750819807-066098,1929645755-00066098,909708943-066098,1748804507-0000066098
Component 00000000025557,00002-00012-25557,00002-00006-00005-97817,2145619254-025557,588166716-025557,1178197825-0025557,1771098806-025557,968426908-00025557,402341428-025557,557178918-0000025557
Component 00000000010113,00003-00005-00012-10113,00005-36015,370830367-010113,402378352-010113,433926337-0010113,827165816-010113,669425891-00010113,1885133647-010113,11777504-0000010113
Component 00000000029238,00003-00006-00001-29238,00004-00001-00011-77309,969446894-029238,636173904-029238,302900914-0029238,1985576055-029238,1504457358-00029238,4728903-029238,1936569573-0000029238
Component 00000000047335,00001-00002-47335,00001-00002-00001-89896,951925004-047335,1892342239-047335,685275827-0047335,391262491-047335,2131627257-00047335,994795697-047335,123157602-0000047335
Component 00000000014030,00002-00003-14030,00003-00004-00012-22138,2035466961-014030,460752393-014030,1033521472-0014030,823738058-014030,107376310-00014030,1611095342-014030,557424882-0000014030
Component 00000000084528,00003-00003-00002-84528,00006-00005-19375,1904033228-084528,1714812269-084528,1525591310-0084528,243009481-084528,1189114276-00084528,1411361784-084528,473144901-0000084528
Component 00000000019222,00002-00008-19222,00002-00001-43967,2102014599-019222,1576757273-019222,1051499947-0019222,249354405-019222,728157388-00019222,511983068-019222,252883461-0000019222
Component 00000000052890,00005-00006-52890,00004-00005-00001-121889,781599664-052890,1093494220-052890,1405388776-0052890,876100101-052890,1464110968-00052890,720152823-052890,1613812200-0000052890
Component 00000000046683,00003-46683,00006-71630,956601455-046683,1241888237-046683,1527175019-0046683,1908108500-046683,481674590-00046683,1765465109-046683,772091805-0000046683
Component 00000000083884,00004-00003-00008-83884,00002-00001-1352,474194025-083884,719596325-083884,964998625-0083884,1638787340-083884,411775840-00083884,1516086190-083884,1215515093-0000083884
Component 00000000096493,00003-00005-00007-96493,00001-00005-00008-107336,1170025185-096493,1257927529-096493,1345829873-0096493,1138321575-096493,698809855-00096493,1094370403-096493,572544222-0000096493
Component 00000000118685,00008-118685,00003-00001-00003-110958,21774416-118685,1310191853-118685,451125643-0118685,1306736171-118685,1307099927-00118685,1736269276-118685,784448612-0000118685
Component 00000000121546,00001-00005-00009-121546,00002-00008-68700,89740907-121546,612076713-121546,1134412519-0121546,1800707381-121546,1336511998-00121546,1539539478-121546,915073258-0000121546
Component 00000000026333,00003-00006-00008-26333,00003-119525,1291727659-026333,373410846-026333,1602577680-0026333,776776992-026333,1073393763-00026333,162193575-026333,1152755569-0000026333
Component 00000000047534,00004-00004-00006-47534,00003-00006-00003-95423,2064923899-047534,213359822-047534,509279392-0047534,1384637515-047534,2052523312-00047534,1236677730-047534,1199636937-0000047534
Component 00000000009660,00001-9660,00002-00009-23305,401241369-009660,1481087253-009660,413449490-0009660,1234159215-009660,129897089-00009660,694236273-009660,1682107863-0000009660
Component 00000000065734,00004-00004-00006-65734,00006-00001-110865,1553009444-065734,694578206-065734,1983630615-0065734,721283694-065734,718472590-00065734,1150499313-065734,870610696-0000065734
Component 00000000071438,00003-00003-00003-71438,00001-00001-00004-23521,680539016-071438,500505478-071438,320471940-0071438,538847011-071438,1439014701-00071438,628863780-071438,1382493389-0000071438
Component 00000000110355,00011-110355,00001-00003-00004-1291,2021002287-110355,786407616-110355,1699296592-0110355,1198961036-110355,929483450-00110355,742516548-110355,1811418594-0000110355
Component 00000000065557,00002-00002-00011-65557,00002-00003-00007-105892,296252402-065557,652418575-065557,1008584748-0065557,1464184440-065557,1830837222-00065557,212359530-065557,828066946-0000065557
Component 00000000039191,00001-00005-00009-39191,00002-00005-00005-108932,2111452665-039191,462949585-039191,961930152-0039191,1615948224-039191,1268529036-00039191,292716117-039191,1981094459-0000039191
Component 00000000114880,00003-00012-114880,00003-00006-00003-4423,1771224019-114880,1273341853-114880,775459687-0114880,1246259085-114880,1588186268-00114880,1495200168-114880,1513820924-0000114880
Component 00000000082100,00004-00005-82100,00004-00008-74914,1681198583-082100,848120448-082100,15042313-0082100,1005356505-082100,875779886-00082100,348153749-082100,1144431586-0000082100
Component 00000000107436,00001-00004-107436,00002-00006-00008-43077,1607662844-107436,1555841538-107436,1504020232-0107436,1241813150-107436,1500919680-00107436,1267723803-107436,1835440246-0000107436
Component 00000000078664,00004-00005-00001-78664,00012-102270,1810271666-078664,1648792913-078664,1487314160-0078664,1494744910-078664,154655028-00078664,501742463-078664,2132221743-0000078664
Component 00000000010337,00002-00005-00002-10337,00004-00006-00003-42279,2070691624-010337,2031856899-010337,1993022174-0010337,1260949285-010337,1455122910-00010337,206624824-010337,737727390-0000010337
Component 00000000080309,00004-00005-00008-80309,00004-00006-00001-24779,379845439-080309,868725342-080309,1357605245-0080309,1541942441-080309,1245026573-00080309,223760666-080309,1323815987-0000080309
Component 00000000017788,00003-00001-00004-17788,00003-00012-3808,1096385078-017788,511616299-017788,2074331167-0017788,1726128531-017788,355005132-00017788,944771097-017788,1973945508-0000017788
Component 00000000082459,00004-00006-82459,00004-00004-00003-84984,135967597-082459,125961724-082459,115955851-0082459,724424580-082459,774453945-00082459,1803169340-082459,1074913550-0000082459
Component 00000000103282,00002-00004-00010-103282,00003-50323,1163091523-103282,1827379475-103282,344183780-0103282,1168802490-103282,2142330024-00103282,836658514-103282,639632130-0000103282
Component 00000000046227,00002-00006-00012-46227,00002-00001-00006-58857,26893237-046227,1500544517-046227,826712150-0046227,632019966-046227,1853698154-00046227,2042677973-046227,1224927319-0000046227
Component 00000000072985,00003-00003-72985,00002-00003-66810,2112146468-072985,563090247-072985,1161517673-0072985,1071105571-072985,226452088-00072985,771891858-072985,630930531-0000072985
Component 00000000009619,00004-00001-00012-9619,00003-00004-00012-22138,874435457-009619,569934091-009619,265432725-0009619,1138504735-009619,513527918-00009619,1290755418-009619,176580303-0000009619
Component 00000000050923,00003-00005-00002-50923,00004-00001-00003-80564,1207107484-050923,1694295296-050923,33999461-0050923,1213396249-050923,924940836-00050923,969802343-050923,418150111-0000050923
Component 00000000059308,00003-00004-00002-59308,00003-00003-00002-54498,530869566-059308,1011455926-059308,1492042286-0059308,216987909-059308,2109023403-00059308,2124178376-059308,2084460058-0000059308
Component 00000000019990,00005-00009-19990,00002-00005-00002-32177,322649305-019990,841394514-019990,1360139723-0019990,785730001-019990,339487603-00019990,1600099220-019990,854358266-0000019990
Component 00000000102069,00004-00002-00006-102069,00004-00007-16335,1176573237-102069,1340281834-102069,1503990431-0102069,1600247427-102069,781704442-00102069,444651305-102069,1663200198-0000102069
Component 00000000111295,00002-00002-111295,00002-00001-00003-27602,1504177098-111295,1879331088-111295,107001431-0111295,371792790-111295,643506487-00111295,184215795-111295,2043195641-0000111295
Component 00000000111184,00004-00003-00008-111184,00002-00003-00008-52307,1412129945-111184,1520891487-111184,1629653029-0111184,244613791-111184,1848289728-00111184,190233020-111184,174361622-0000111184
Component 00000000065869,00004-00006-00011-65869,00002-00003-00008-114642,159225209-065869,665210025-065869,1171194841-0065869,1077168668-065869,694728235-00065869,824176260-065869,689154651-0000065869
Component 00000000004874,00004-00002-00012-4874,00002-00006-00006-12837,2138949220-004874,59100771-004874,126735969-0004874,1124289029-004874,786113039-00004874,1090471430-004874,1144829063-0000004874
Component 00000000032219,00004-00005-00005-32219,00004-00006-00003-37274,1439169182-032219,301689351-032219,1311693167-0032219,1032230377-032219,277178591-00032219,527228469-032219,1435243380-0000032219
Component 00000000064932,00002-00010-64932,00003-00004-00006-88393,1674920445-064932,1150328451-064932,625736457-0064932,2002012500-064932,330005176-00064932,116824850-064932,1402295899-0000064932
Component 00000000019957,00002-00002-19957,00002-00004-00005-64537,1953393604-019957,1999939163-019957,2046484722-0019957,989627745-019957,756899950-00019957,2040096789-019957,1130594282-0000019957
Component 00000000043275,00001-00011-43275,00002-00002-00003-99752,568329320-043275,2132330149-043275,1548847331-0043275,186700058-043275,956630501-00043275,478441467-043275,2010422692-0000043275
Component 00000000078143,00003-00002-78143,00001-00009-87655,2050617543-078143,1124312725-078143,198007907-0078143,74506810-078143,411063606-00078143,537659219-078143,461345591-0000078143
Component 00000000105347,00002-00004-00008-105347,00004-00005-108134,1094864999-105347,460939592-105347,1974497832-0105347,1487995641-105347,362655382-00105347,731216521-105347,1528573787-0000105347
Component 00000000090151,00001-00005-00009-90151,00002-53300,1617519107-090151,387064890-090151,1304094320-0090151,996289875-090151,706110019-00090151,537775160-090151,267832920-0000090151
Component 00000000072798,00003-00005-00011-72798,00004-00001-00004-61559,1827610606-072798,1829714924-072798,1831819242-0072798,1929670029-072798,1919148439-00072798,1928617870-072798,18239823-0000072798
Component 00000000113125,00005-00012-113125,00004-00003-00012-78844,1349872804-113125,1361418819-113125,1372964834-0113125,836112708-113125,778382633-00113125,1904081524-113125,1670984027-0000113125
Component 00000000024829,00004-00012-24829,00001-00002-00012-77401,1087553569-024829,942839175-024829,798124781-0024829,511356401-024829,1234928371-00024829,583713598-024829,804580819-0000024829
Component 00000000102091,00001-00003-00002-102091,00005-00002-16980,957405310-102091,1995494594-102091,886100231-0102091,1912611703-102091,1017132577-00102091,1393567061-102091,794012740-0000102091
Component 00000000044485,00012-44485,00002-00006-00010-10072,1412767008-044485,1606810607-044485,1800854206-0044485,1160205148-044485,189987153-00044485,2136925172-044485,88692737-0000044485
Component 00000000007869,00004-00001-00004-7869,00004-00004-00011-96744,934296811-007869,38136183-007869,1289459202-0007869,420179293-007869,606015139-00007869,868259607-007869,59335201-0000007869
Component 00000000069286,00001-00009-69286,00003-86765,197037279-069286,906180562-069286,1615323845-0069286,1304489976-069286,2053740855-00069286,2023660158-069286,544013800-0000069286
