Component 00000000062195,00003-62195,00001-00003-11791,840641274-062195,16739987-062195,1340322347-0062195,609876324-062195,434415465-00062195,2095568791-062195,831582174-0000062195
Component 00000000086290,00001-00009-86290,00003-00001-00008-68713,243656717-086290,17168011-086290,1938162952-0086290,2143856358-086290,1128816241-00086290,109617064-086290,1630838853-0000086290
Component 00000000067975,00005-00011-67975,00002-00004-00010-50047,470320769-067975,2060861717-067975,1503919018-0067975,302145455-067975,939375303-00067975,1654358628-067975,586936765-0000067975
Component 00000000111816,00001-00005-00003-111816,00002-00005-00002-42187,1192989504-111816,96422258-111816,1147338659-0111816,1696569248-111816,736954537-00111816,97369224-111816,1193416992-0000111816
Component 00000000000769,00004-00006-00002-769,00002-00005-00008-21432,870253348-000769,2018629740-000769,1019522485-0000769,731933538-000769,1432502519-00000769,157745342-000769,1924489715-0000000769
Component 00000000018818,00003-00002-00007-18818,00002-00003-00007-32637,558370933-018818,2132192643-018818,1558530706-0018818,1726796223-018818,300138614-00018818,939885368-018818,2086186503-0000018818
Component 00000000082844,00004-00006-00008-82844,00005-00011-95730,1245901653-082844,2042687504-082844,691989708-0082844,161567957-082844,472605996-00082844,836916855-082844,2068763781-0000082844
Component 00000000067994,00004-00003-00004-67994,00004-00003-00003-50599,554592363-067994,1886226509-067994,1070377008-0067994,714339034-067994,498619245-00067994,48521961-067994,449160184-0000067994
Component 00000000076374,00004-00004-00012-76374,00004-00005-00005-38134,89022670-076374,268417953-076374,447813236-0076374,1273501131-076374,376524716-00076374,110061666-076374,1055993912-0000076374
Component 00000000116453,00003-00001-00012-116453,00004-00005-37055,230514736-116453,1470752471-116453,563506559-0116453,1326244591-116453,1567506857-00116453,1779867547-116453,1443326137-0000116453
Component 00000000040748,00003-00001-00006-40748,00005-00008-28985,263362462-040748,1895693386-040748,1380540663-0040748,2122000984-040748,402797305-00040748,1305835522-040748,638249404-0000040748
Component 00000000100902,00002-00004-00009-100902,00003-00001-00002-107213,1058661276-100902,663500007-100902,268338738-0100902,146950729-100902,2122757074-00100902,1418273187-100902,2088371597-0000100902
Component 00000000035206,00001-00003-00002-35206,00006-00001-120875,1266113062-035206,439566612-035206,1760503809-0035206,1980799530-035206,1818564486-00035206,246589108-035206,1884703554-0000035206
Component 00000000005816,00001-00006-00005-5816,00003-00003-00004-39238,1071565226-005816,1794906702-005816,370764531-0005816,1793888460-005816,324664727-00005816,1432217722-005816,2135547687-0000005816
Component 00000000015290,00002-00002-15290,00001-00007-57415,777391583-015290,1327998981-015290,1878606379-0015290,1712046622-015290,1106493279-00015290,1436742923-015290,1664692638-0000015290
Component 00000000121122,00002-00001-00001-121122,00004-00005-00007-55634,1466763387-121122,1716891005-121122,1967018623-0121122,713050978-121122,1609896535-00121122,587987169-121122,1702517017-0000121122
Component 00000000005740,00007-5740,00004-00001-37090,643731202-005740,1358427543-005740,2073123884-0005740,2020507212-005740,594509154-00005740,589417218-005740,1111643774-0000005740
Component 00000000108535,00011-108535,00004-73840,1389455358-108535,709150530-108535,28845702-0108535,606925905-108535,1860966398-00108535,947078319-108535,516699829-0000108535
Component 00000000045755,00003-00008-45755,00004-00003-00003-45594,1907385370-045755,2009928603-045755,2112471836-0045755,1512023053-045755,999306888-00045755,387009613-045755,615039687-0000045755
Component 00000000062825,00009-62825,00004-00008-29414,28946031-062825,1992014453-062825,1807599228-0062825,748484030-062825,1670560155-00062825,1914433466-062825,365875796-0000062825
Component 00000000029943,00003-00004-00004-29943,00002-00005-97050,164409066-029943,1205859703-029943,99826693-0029943,208899256-029943,1444097012-00029943,761915761-029943,481251315-0000029943
Component 00000000068328,00003-00001-68328,00002-00005-00002-59932,1436836008-068328,2119299157-068328,654278659-0068328,1250302206-068328,2132953755-00068328,1982812455-068328,2019585411-0000068328
Component 00000000003482,00002-00003-00011-3482,00002-00003-00004-97387,168885237-003482,230262534-003482,291639831-0003482,2071942318-003482,1765055833-00003482,967511846-003482,217184374-0000003482
Component 00000000078716,00001-00001-00001-78716,00009-103775,1671167673-078716,1426070070-078716,1180972467-0078716,1595093986-078716,673098354-00078716,643900964-078716,662657293-0000078716
Component 00000000053238,00003-00003-00003-53238,00001-00005-00003-8076,672042777-053238,1993007684-053238,1166488944-0053238,1388073180-053238,1225699586-00053238,1801332550-053238,1626540017-0000053238
Component 00000000015016,00001-00001-00001-15016,00004-00001-20710,1355880004-015016,1874018921-015016,244674191-0015016,1789555538-015016,1346344600-00015016,456744256-015016,1628941714-0000015016
Component 00000000090794,00004-00004-00002-90794,00002-00004-71292,919408398-090794,727400392-090794,535392386-0090794,196954695-090794,1156994725-00090794,292958698-090794,1205231346-0000090794
Component 00000000029848,00003-29848,00001-00004-94410,1666827014-029848,754885356-029848,1990427345-0029848,387329541-029848,652070537-00029848,843300370-029848,1638979706-0000029848
Component 00000000104811,00001-00005-104811,00004-00006-45129,1178236102-104811,1682998549-104811,40277349-0104811,963152841-104811,586824253-00104811,1784513441-104811,58574628-0000104811
Component 00000000048189,00004-00001-00011-48189,00004-00001-00012-113814,799406497-048189,981362019-048189,1163317541-0048189,1034314726-048189,124537116-00048189,943336965-048189,967634109-0000048189
Component 00000000010190,00005-00011-10190,00004-00009-38164,346592659-010190,1588010371-010190,681944436-0010190,425809575-010190,661171956-00010190,1952584366-010190,9631490-0000010190
Component 00000000001988,00003-00012-1988,00002-00001-00001-55602,1602163006-001988,181877421-001988,909075483-0001988,364047014-001988,1023023998-00001988,447983-001988,482891124-0000001988
Component 00000000079333,00003-00002-00007-79333,00003-00005-00011-121028,593572072-079333,290749306-079333,2135410187-0079333,939053450-079333,305683633-00079333,1090464833-079333,730728095-0000079333
Component 00000000013620,00005-00009-13620,00001-00008-10655,1990885730-013620,2103053938-013620,67738499-0013620,988592877-013620,427751837-00013620,932508773-013620,923032986-0000013620
Component 00000000119372,00002-00001-00006-119372,00004-00008-6664,859378976-119372,2071952625-119372,1137042627-0119372,613400660-119372,992983356-00119372,1080855659-119372,2076199294-0000119372
Component 00000000076278,00003-00006-00007-76278,00003-00001-00012-35463,972498264-076278,175959380-076278,1526904143-0076278,995068036-076278,682795162-00076278,1393337478-076278,1034845330-0000076278
Component 00000000040716,00001-00004-40716,00003-00009-28063,1130200627-040716,619659675-040716,109118723-0040716,2138768219-040716,396505685-00040716,246555048-040716,824925143-0000040716
Component 00000000082842,00002-00004-00006-82842,00001-00003-95670,1634923082-082842,1853651336-082842,2072379590-0082842,1505825166-082842,412183896-00082842,1396461039-082842,2013750056-0000082842
Component 00000000083713,00003-00006-83713,00004-00003-00004-8844,1018099882-083713,1085603238-083713,1153106594-0083713,2144529001-083713,1807012221-00083713,2110777323-083713,538216166-0000083713
Component 00000000100626,00001-00001-00006-100626,00001-00004-00009-99446,40447288-100626,1978486393-100626,1769041851-0100626,619805236-100626,1667027946-00100626,724527507-100626,586084557-0000100626
Component 00000000068879,00004-00006-00005-68879,00004-00005-75374,2056277588-068879,506737722-068879,1104681503-0068879,2065521732-068879,1223286474-00068879,692808018-068879,1569277961-0000068879
Component 00000000047575,00003-00008-47575,00004-00003-00012-96589,1344232485-047575,1966288161-047575,440860190-0047575,1449161713-047575,486366980-00047575,1138133875-047575,1416224046-0000047575
Component 00000000074233,00003-00005-00003-74233,00004-00006-00002-101779,1704383719-074233,1926658990-074233,1450614-0074233,673574304-074233,1709681596-00074233,1636178492-074233,851916877-0000074233
Component 00000000016871,00001-00001-00010-16871,00001-00004-101686,1149224842-016871,1383793679-016871,1618362516-0016871,714653378-016871,1689292840-00016871,1671110783-016871,1666192079-0000016871
Component 00000000083848,00003-00002-00011-83848,00002-00005-00004-115652,852484539-083848,1469846443-083848,2087208347-0083848,729765825-083848,1937923599-00083848,421084873-083848,350519278-0000083848
Component 00000000101296,00001-00006-101296,00004-00002-39470,2004456336-101296,1147503854-101296,290551372-0101296,1244450252-101296,1234245368-00101296,1672926493-101296,210821430-0000101296
Component 00000000018277,00002-00012-18277,00002-00002-00004-17502,1611809213-018277,1359595732-018277,1107382251-0018277,1190615443-018277,304199201-00018277,242980360-018277,1208184340-0000018277
Component 00000000036050,00001-36050,00002-00003-20972,1422439754-036050,505245216-036050,1735534325-0036050,2035661248-036050,179182997-00036050,346774870-036050,499560472-0000036050
Component 00000000103405,00001-00003-103405,00003-00004-19058,1933007504-103405,1636464376-103405,1339921248-0103405,435567678-103405,1918283318-00103405,583839242-103405,1908288072-0000103405
Component 00000000060061,00001-00001-00001-60061,00004-00001-00003-75559,1647928553-060061,1897288146-060061,2146647739-0060061,1930708755-060061,683910790-00060061,732287135-060061,1233196531-0000060061
Component 00000000036378,00003-00006-00004-36378,00003-00003-00006-58558,202672106-036378,996138490-036378,1789604874-0036378,31086084-036378,358721458-00036378,1781836539-036378,1833150748-0000036378
Component 00000000034313,00003-00006-00006-34313,00003-00002-00004-95853,1882420076-034313,1684611251-034313,1486802426-0034313,1952368475-034313,793928953-00034313,977531064-034313,1999221430-0000034313
Component 00000000049113,00003-00001-00012-49113,00006-16120,100435-049113,1417353633-049113,687123184-0049113,17403834-049113,1521072432-00049113,1456260882-049113,351808424-0000049113
Component 00000000111986,00001-00004-111986,00003-00002-46945,1777832569-111986,531803280-111986,1433257638-0111986,401212345-111986,188907849-00111986,2097968813-111986,1957534046-0000111986
Component 00000000031199,00004-00012-31199,00001-00004-00007-8691,2142217360-031199,183394907-031199,372056101-0031199,554867034-031199,1759044711-00031199,460536437-031199,663985919-0000031199
Component 00000000046353,00003-00006-00008-46353,00003-00006-00005-62418,2100183911-046353,348819228-046353,744938192-0046353,1984600842-046353,4006022-00046353,1786541360-046353,848941994-0000046353
Component 00000000073580,00003-73580,00003-00003-83450,752436307-073580,2023351658-073580,1146783362-0073580,1188546891-073580,1276421077-00073580,1626831039-073580,131704569-0000073580
Component 00000000023255,00001-00011-23255,00003-00007-33313,430849840-023255,2096865519-023255,1615397551-0023255,701973509-023255,961829702-00023255,942707493-023255,1616983654-0000023255
Component 00000000055518,00003-00001-00008-55518,00001-00002-71905,820779070-055518,300533619-055518,1927771815-0055518,284936637-055518,738680245-00055518,1618801186-055518,122602812-0000055518
Component 00000000004448,00003-00003-00002-4448,00003-00006-923,930898996-004448,337218097-004448,1891020845-0004448,1128404629-004448,1949325477-00004448,351503255-004448,2099633916-0000004448
Component 00000000018687,00002-00004-00006-18687,00003-00001-00002-28953,505760702-018687,1866271023-018687,1079297697-0018687,992260037-018687,632159373-00018687,1385746700-018687,1611300058-0000018687
Component 00000000066298,00003-00001-00011-66298,00003-00002-00009-3103,1888222863-066298,1553236650-066298,1218250437-0066298,1747518885-066298,1274966303-00066298,841270168-066298,2013848745-0000066298
Component 00000000030131,00001-00003-00010-30131,00001-00005-00008-102331,760513868-030131,506200740-030131,251887612-0030131,1311229042-030131,435311035-00030131,1438385606-030131,268060316-0000030131
Component 00000000065180,00003-00011-65180,00001-00005-00002-95331,120059485-065180,1728024492-065180,1188505852-0065180,1870692856-065180,273318762-00065180,2140452176-065180,1033658944-0000065180
Component 00000000028556,00001-00003-00008-28556,00004-00004-00004-58244,1320447614-028556,597315358-028556,2021666749-0028556,608271550-028556,2076449183-00028556,969837678-028556,1004785690-0000028556
Component 00000000051289,00004-00004-51289,00004-00006-00009-77034,540664261-051289,881040622-051289,1221416983-0051289,942790417-051289,1388392259-00051289,1846344060-051289,132813118-0000051289
Component 00000000073080,00007-73080,00003-00001-00002-69448,911899224-073080,418904975-073080,2073394373-0073080,1697740088-073080,2015227686-00073080,870495389-073080,1163968137-0000073080
Component 00000000103728,00003-00002-00001-103728,00003-00002-62818,505073271-103728,2055928262-103728,1459299606-0103728,1633354513-103728,321530499-00103728,1931668841-103728,840968886-0000103728
Component 00000000053809,00004-00002-53809,00003-00010-24073,1496141472-053809,1189169385-053809,882197298-0053809,566638958-053809,2101499393-00053809,1793866825-053809,932890626-0000053809
