Component 00000000053045,00006-00005-53045,00004-00009-2674,746050180-053045,1559123691-053045,224713555-0053045,451667994-053045,681267733-00053045,1118873062-053045,866444384-0000053045
Component 00000000118368,00003-00005-00003-118368,00002-00005-102055,730610375-118368,1323949602-118368,1917288829-0118368,516533650-118368,1844804809-00118368,1293605860-118368,79107194-0000118368
Component 00000000051770,00005-00004-51770,00005-90480,1121567636-051770,846256473-051770,570945310-0051770,1727619936-051770,956692104-00051770,791533694-051770,1404348619-0000051770
Component 00000000047915,00010-47915,00002-00001-00001-106107,1580784760-047915,643060492-047915,1852819871-0047915,1198314349-047915,1591968395-00047915,1667176483-047915,216544532-0000047915
Component 00000000089414,00004-00003-89414,00002-00001-00003-32607,384958028-089414,795776564-089414,1206595100-0089414,982304201-089414,1075695168-00089414,776894933-089414,390040820-0000089414
Component 00000000068650,00001-00010-68650,00003-00001-00006-68958,1238400441-068650,174235283-068650,1257553772-0068650,1165997806-068650,44372655-00068650,1698080385-068650,1723403644-0000068650
Component 00000000019785,00003-00012-19785,00003-00001-00009-59718,156028180-019785,1473832373-019785,644152919-0019785,718763954-019785,572193930-00019785,1133603681-019785,805259396-0000019785
Component 00000000080460,00002-00003-80460,00001-00001-29016,1123956169-080460,588489260-080460,53022351-0080460,1997356670-080460,379723921-00080460,1191348301-080460,1937797563-0000080460
Component 00000000036495,00004-00004-36495,00002-00005-00001-33437,468299451-036495,107724792-036495,1894633780-0036495,1234039489-036495,889429137-00036495,340584995-036495,771457531-0000036495
Component 00000000061671,00001-00001-00012-61671,00001-00002-00008-120661,1728010915-061671,1892483695-061671,2056956475-0061671,1115006157-061671,292642257-00061671,1032769767-061671,1295549282-0000061671
Component 00000000106322,00002-00006-00008-106322,00001-00002-00006-23081,2005956427-106322,1320447493-106322,634938559-0106322,971027833-106322,103605209-00106322,1313782300-106322,928151237-0000106322
Component 00000000006471,00001-00003-00010-6471,1436259974,469101-006471,246004447-006471,491539793-0006471,1171515147-006471,2091322064-00006471,1048747474-006471,786498400-0000006471
Component 00000000072114,00004-00003-72114,00002-00004-42462,1287561626-072114,1142897664-072114,998233702-0072114,713810410-072114,1437130220-00072114,786142391-072114,1201474714-0000072114
Component 00000000087770,00004-00007-87770,00001-00011-110160,450498914-087770,455789079-087770,461079244-0087770,1780813740-087770,1754362915-00087770,704426834-087770,1417765216-0000087770
Component 00000000016655,00002-00002-16655,00002-00001-00005-95607,585404969-016655,1754924401-016655,776960186-0016655,1472522599-016655,2067376380-00016655,887762883-016655,560729175-0000016655
Component 00000000021422,00002-00002-00011-21422,00001-00005-105586,1969932363-021422,1087893014-021422,205853665-0021422,1066955053-021422,1182184504-00021422,434232904-021422,893247913-0000021422
Component 00000000062356,00001-00008-62356,00002-00003-16305,1095992292-062356,1370850920-062356,1645709548-0062356,1541733868-062356,167440728-00062356,1404304554-062356,2145025680-0000062356
Component 00000000088659,00004-00004-00012-88659,00005-00006-11485,456248777-088659,2101026891-088659,1598321358-0088659,771092367-088659,1137136385-00088659,2096186957-088659,1332096484-0000088659
Component 00000000105311,00001-00003-00011-105311,00001-00001-107121,1327362048-105311,1035750276-105311,744138504-0105311,69092988-105311,1527151848-00105311,214898874-105311,1908885065-0000105311
Component 00000000096848,00003-00003-00011-96848,00003-00005-00010-117283,1916563711-096848,1999959957-096848,2083356203-0096848,1666314348-096848,1249333118-00096848,1624616225-096848,430461526-0000096848
Component 00000000064928,00003-00003-00006-64928,88270,1803252752-064928,389302656-064928,1122836207-0064928,1946149800-064928,425965692-00064928,505641201-064928,152603741-0000064928
Component 00000000075283,00003-00005-75283,00002-00006-00006-103837,1856213344-075283,17927481-075283,327125265-0075283,1819920339-075283,273931419-00075283,1665321447-075283,960383076-0000075283
Component 00000000107064,00004-00006-00009-107064,00002-00003-00007-32637,1864599514-107064,1596519504-107064,1328439494-0107064,1747620911-107064,940537314-00107064,1881660916-107064,257660683-0000107064
Component 00000000012824,00004-00006-12824,00001-00004-00011-111941,305341204-012824,953906815-012824,1602472426-0012824,622260456-012824,1674399695-00012824,1371719474-012824,1270223502-0000012824
Component 00000000049169,00004-00001-00003-49169,00001-00001-17655,900638824-049169,2020599812-049169,993077153-0049169,1531655567-049169,226817921-00049169,971675073-049169,146330682-0000049169
Component 00000000053549,00004-00006-00002-53549,00008-16765,2055464072-053549,681475172-053549,1454969919-0053549,1988995479-053549,269005391-00053549,528506282-053549,397613634-0000053549
Component 00000000114823,00003-00002-00007-114823,00002-00006-00006-2827,1489321499-114823,154138441-114823,966439030-0114823,1157452596-114823,1390916945-00114823,1825044125-114823,1375553374-0000114823
Component 00000000089037,00002-00004-89037,00001-00005-00002-22076,1431657095-089037,596421867-089037,1908670286-0089037,1724937830-089037,1606146676-00089037,2142555444-089037,798960030-0000089037
Component 00000000087065,00006-00004-87065,00004-00004-90419,1680373700-087065,726899148-087065,1920908243-0087065,534014515-087065,1006419981-00087065,1010751791-087065,83325558-0000087065
Component 00000000075709,00004-00004-00010-75709,00004-00001-00007-19559,836703446-075709,1972400166-075709,960613239-0075709,83419544-075709,847386885-00075709,1663054831-075709,565662436-0000075709
Component 00000000001715,00012-1715,00003-00001-00001-47958,449185454-001715,1026077980-001715,1602970506-0001715,511185554-001715,1921690218-00001715,222739291-001715,66701245-0000001715
Component 00000000099717,00002-00002-00007-99717,00002-00007-74055,1623149034-099717,1469130536-099717,1315112038-0099717,595702822-099717,1365795312-00099717,672712071-099717,1522259639-0000099717
Component 00000000058963,00003-00002-00008-58963,00001-00005-00002-44826,1239136671-058963,393893931-058963,1696134838-0058963,1047053074-058963,978299480-00058963,1469674444-058963,1469408319-0000058963
Component 00000000059129,00004-00005-59129,00002-00010-49462,823278647-059129,243549593-059129,1811304186-0059129,623706939-059129,1374868562-00059129,913571466-059129,1255035065-0000059129
Component 00000000020539,00004-00001-00012-20539,00006-00010-80870,1385641157-020539,152176197-020539,1066194884-0020539,1692132713-020539,1417006572-00020539,161381546-020539,1125993713-0000020539
Component 00000000076993,00003-00007-76993,00005-00009-55480,1653622909-076993,1880977026-076993,2108331143-0076993,869137525-076993,1879850587-00076993,1829202290-076993,1158644132-0000076993
Component 00000000107693,00003-00005-00001-107693,00001-00003-00007-50291,373217227-107693,1647605234-107693,774509594-0107693,977751627-107693,1048262533-00107693,1414299447-107693,706846740-0000107693
Component 00000000087734,00004-00003-00010-87734,00002-00003-00010-15207,2126986383-087734,567025344-087734,1154547952-0087734,557061813-087734,1914416067-00087734,263300509-087734,1298601977-0000087734
Component 00000000117023,00003-00004-00010-117023,00001-64415,1331369607-117023,1226523812-117023,1121678017-0117023,1615057667-117023,2139286642-00117023,593738741-117023,340151003-0000117023
Component 00000000114528,00003-00001-00011-114528,00003-00002-00008-118113,796250730-114528,1526634740-114528,109535103-0114528,1860136863-114528,355700460-00114528,1494944858-114528,445768965-0000114528
Component 00000000060028,00003-00003-00007-60028,00003-00004-00005-74638,285322377-060028,110312661-060028,2082786592-0060028,387285739-060028,1262334319-00060028,474790597-060028,114802559-0000060028
Component 00000000060388,00003-00006-00003-60388,00001-00009-97210,752014682-060388,782722250-060388,813429818-0060388,93848083-060388,2087793890-00060388,78494299-060388,823156625-0000060388
Component 00000000079550,00002-00003-79550,00003-00005-00003-109723,1205379683-079550,1658359499-079550,2111339315-0079550,1700064289-079550,1582648856-00079550,1473574381-079550,1138040664-0000079550
Component 00000000035093,00003-00002-00006-35093,00004-00004-00003-117744,1575274168-035093,1822425184-035093,2069576200-0035093,677196562-035093,1588925129-00035093,553621054-035093,51159142-0000035093
Component 00000000110326,00001-00006-00008-110326,00002-00007-462,1918265391-110326,709547635-110326,1648313526-0110326,1277512694-110326,878650533-00110326,1881871572-110326,1642434707-0000110326
Component 00000000027091,00001-00001-00012-27091,00001-00004-00010-17196,889515582-027091,439517300-027091,2137002665-0027091,539435375-027091,641943138-00027091,764434516-027091,1817233524-0000027091
Component 00000000084088,00003-00004-00004-84088,00003-00004-7063,1571174332-084088,1878889876-084088,39121773-0084088,1462992687-084088,2071898614-00084088,1309134915-084088,797004646-0000084088
Component 00000000061770,00002-00007-61770,00003-00006-00001-123423,821332573-061770,1236034869-061770,1650737165-0061770,1607041106-061770,1681013273-00061770,1399689958-061770,1469882170-0000061770
Component 00000000087281,00001-00005-00012-87281,00002-00005-00003-96437,156800428-087281,283791874-087281,410783320-0087281,2020918265-087281,1385961035-00087281,1957422542-087281,1029559684-0000087281
Component 00000000109739,00004-00006-109739,00002-00001-107550,627508708-109739,471376449-109739,315244190-0109739,571286911-109739,1351948206-00109739,1723094864-109739,1697785047-0000109739
Component 00000000060848,00003-00004-00008-60848,00002-00001-00011-97602,2059474031-060848,221811919-060848,531633454-0060848,979691126-060848,1578067098-00060848,1898522182-060848,2899281-0000060848
Component 00000000043268,00003-00001-00004-43268,00002-00004-00009-99537,486626900-043268,519849434-043268,553071968-0043268,2097919799-043268,1931807129-00043268,2081308532-043268,1357854539-0000043268
Component 00000000076158,00003-00005-00004-76158,00004-00001-32085,1003459642-076158,374927295-076158,1893878595-0076158,1658153694-076158,505848135-00076158,898678044-076158,1757687150-0000076158
Component 00000000079316,00001-00006-00003-79316,00003-00005-00002-120538,145087289-079316,1796494745-079316,1300418554-0079316,781453966-079316,1114351274-00079316,2103233885-079316,517621972-0000079316
Component 00000000066833,00003-00004-66833,00001-00005-00003-18086,327668852-066833,817854573-066833,1308040294-0066833,1553098027-066833,1249653069-00066833,234263343-066833,138800608-0000066833
Component 00000000097991,00001-00005-00010-97991,00005-00003-25730,1279774172-097991,1158271549-097991,1036768926-0097991,755606074-097991,1363119189-00097991,1890099209-097991,979181408-0000097991
Component 00000000009487,00002-00002-00010-9487,00001-00004-00009-15271,875627756-009487,2080413005-009487,1137714607-0009487,251912040-009487,670436736-00009487,723261239-009487,365631083-0000009487
Component 00000000106997,00002-00002-00007-106997,00001-00003-00012-30796,1121713882-106997,299604194-106997,1624978153-0106997,2051583307-106997,1867164453-00106997,315154504-106997,790548486-0000106997
Component 00000000090514,00004-00004-00008-90514,00002-00005-00005-63432,727574359-090514,146950605-090514,1713810498-0090514,484609701-090514,1240244824-00090514,774921578-090514,1788008559-0000090514
Component 00000000056787,00002-00003-00003-56787,00002-00005-00008-107427,1925830064-056787,292680020-056787,807013623-0056787,27464222-056787,1750763501-00056787,844039244-056787,1572972703-0000056787
Component 00000000002003,00003-00001-00001-2003,00002-00002-00011-56002,593570340-002003,555220035-002003,516869730-0002003,1954806018-002003,2146557543-00002003,900239347-002003,145823507-0000002003
Component 00000000042993,00003-00006-00002-42993,00002-00006-91832,1719168964-042993,2007766848-042993,148881085-0042993,683780809-042993,1388275036-00042993,539481867-042993,239697852-0000042993
Component 00000000067386,00001-00004-00007-67386,00004-00011-33590,715266153-067386,691372580-067386,667479007-0067386,630169686-067386,749637551-00067386,1715858296-067386,114554297-0000067386
Component 00000000046892,00002-00006-00001-46892,00003-00001-00009-77463,862553181-046892,259049285-046892,1803029036-0046892,1657385283-046892,379937469-00046892,1959137231-046892,784872140-0000046892
Component 00000000031715,00005-00008-31715,00001-00002-00011-23151,336669081-031715,97909113-031715,2006632792-0031715,1641712515-031715,688028708-00031715,1761092499-031715,1997599723-0000031715
Component 00000000003609,00004-00004-00008-3609,00001-00006-00010-100981,429740645-003609,531776491-003609,633812337-0003609,1083511882-003609,573332652-00003609,1032493959-003609,1773363341-0000003609
Component 00000000028237,00002-00006-00001-28237,00002-00001-49310,1697970961-028237,983892068-028237,269813175-0028237,351141179-028237,1774051997-00028237,1781922449-028237,1794902847-0000028237
Component 00000000113293,00003-00005-00011-113293,00002-00002-83512,386654044-113293,1238330159-113293,2090006274-0113293,1964498152-113293,2001084871-00113293,464918271-113293,940713520-0000113293
Component 00000000017235,00001-00010-17235,00001-00006-111910,681400557-017235,1366975924-017235,2052551291-0017235,645809328-017235,1512899787-00017235,1376763468-017235,1029895816-0000017235
Component 00000000087622,00002-00003-00002-87622,106015,577108608-087622,160773152-087622,1891921343-0087622,1859675462-087622,1793869095-00087622,2067843190-087622,404641923-0000087622
